4281,915204595429
9167,115935794904
10418,07022769572
15993,354406166323
20007,86698539613
21257,81801996754
23479,33355698933
24402,85435458345
32110,712726290665
32110,712726290665
33994,26679008645
37557,55937615993
37557,55937615993
37564,01882554142
40627,66531523215
40627,66531523215
41734,13116742047
43607,20013409667
43607,20013409667
44619,91530153417
44841,38595014339
44841,38595014339
46050,51164793091
46050,51164793091
46050,51164793091
46050,51164793091
46382,87613102128
46392,87167372437
46447,36326844776
46447,36326844776
47495,71385650103
48148,257152179154
48148,257152179154
48148,257152179154
48148,257152179154
48148,257152179154
48959,84718028975
49099,07402042399
49142,43237114088
49142,43237114088
49142,43237114088
49665,5381516981
49665,5381516981
49665,5381516981
50610,16923194802
50610,16923194802
50610,16923194802
50610,16923194802
50610,16923194802
50610,16923194802
50610,16923194802
50610,16923194802
50610,16923194802
50610,16923194802
50610,16923194802
50610,16923194802
50610,16923194802
50610,16923194802
50610,16923194802
50610,16923194802
50610,16923194802
50610,16923194802
50610,16923194802
50610,16923194802
50610,16923194802
50610,16923194802
50610,16923194802
50699,231125943596
50794,853282458935
51007,500101479556
51144,52825096042
51173,4966279803
52234,7479789518
52366,22047762561
52366,22047762561
52931,075996704865
52997,70999093233
53242,30856074845
53242,30856074845
53821,1748909068
53967,39874827267
53967,39874827267
53967,39874827267
53967,39874827267
54031,58508964401
54031,58508964401
54031,58508964401
54113,573874499605
54295,744588859074
54295,744588859074
54295,744588859074
54295,744588859074
54295,744588859074
54383,36632108461
54628,60207844084
54757,222598635235
54757,222598635235
54822,51215640126
54822,51215640126
54822,51215640126
54963,31333268582
